STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930817,91, , ,0,2400,75, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930818,94, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930819,94, , ,0,2400,79, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930820,95, , ,0,2400,78, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930821,97, , ,0,2400,80, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930822,96, , ,0,2400,78, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930823,94, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930824,93, , ,0,2400,76, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930825,87, , ,0,2400,74, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930826,89, , ,0,2400,75, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930827,91, , ,0,2400,75, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930828,92, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930829,87, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930830,87, , ,0,2400,76, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930831,91, , ,0,2400,75, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930901,90, , ,0,2400,74, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930902,87, , ,0,2400,74, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930903,90, , ,0,2400,75, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930904,91, , ,0,2400,79, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930905,91, , ,0,2400,80, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930906,92, , ,0,2400,76, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930907,90, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930908,89, , ,0,2400,78, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930909,90, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930910,93, , ,0,2400,76, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930911,93, , ,0,2400,76, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930912,89, , ,0,2400,76, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930913,89, , ,0,2400,74, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930914,84, , ,0,2400,75, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930915,87, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930916,89, , ,0,2400,76, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930917,89, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930918,90, , ,0,2400,80, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930919,89, , ,0,2400,78, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930920,88, , ,0,2400,79, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930921,91, , ,0,2400,78, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930922,89, , ,0,2400,78, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930923,89, , ,0,2400,78, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930924,91, , ,0,2400,76, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930925,89, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930926,91, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930927,89, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930928,87, , ,0,2400,76, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930929,87, , ,0,2400,75, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19930930,86, , ,0,2400,75, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931001,87, , ,0,2400,71, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931002,88, , ,0,2400,77, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931003,87, , ,0,2400,74, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931004,85, , ,0,2400,74, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931005,85, , ,0,2400,75, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931006,88, , ,0,2400,74, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931007,90, , ,0,2400,74, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931008,90, , ,0,2400,74, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931009,90, , ,0,2400,74, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931010,90, , ,0,2400,73, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931011,89, , ,0,2400,76, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931012,87, , ,0,2400,74, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931013,89, , ,0,2400,72, , ,0,2400
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,3.7,25.8,-80.3,19931014,86, , ,0,2400,73, , ,0,2400
